id,monthly_measurement_id,user_id,action,field_name,old_value,new_value,comment,created_at
82,41,2,submitted,status,draft,submitted,Cambio de estado a submitted,2024-05-28T12:30:00+00:00
83,42,1,created,,,,Creación de seguimiento mensual,2024-06-28T12:00:00+00:00
84,42,2,reviewed,status,draft,reviewed,Cambio de estado a reviewed,2024-06-28T12:30:00+00:00
85,43,1,created,,,,Creación de seguimiento mensual,2024-07-28T12:00:00+00:00
86,43,2,approved,status,draft,approved,Cambio de estado a approved,2024-07-28T12:30:00+00:00
87,44,1,created,,,,Creación de seguimiento mensual,2024-08-28T12:00:00+00:00
88,44,2,draft,status,draft,draft,Cambio de estado a draft,2024-08-28T12:30:00+00:00
89,45,1,created,,,,Creación de seguimiento mensual,2024-09-28T12:00:00+00:00
90,45,2,submitted,status,draft,submitted,Cambio de estado a submitted,2024-09-28T12:30:00+00:00
91,46,1,created,,,,Creación de seguimiento mensual,2024-10-28T12:00:00+00:00
92,46,2,reviewed,status,draft,reviewed,Cambio de estado a reviewed,2024-10-28T12:30:00+00:00
93,47,1,created,,,,Creación de seguimiento mensual,2024-11-28T12:00:00+00:00
94,47,2,approved,status,draft,approved,Cambio de estado a approved,2024-11-28T12:30:00+00:00
95,48,1,created,,,,Creación de seguimiento mensual,2024-12-28T12:00:00+00:00
96,48,2,draft,status,draft,draft,Cambio de estado a draft,2024-12-28T12:30:00+00:00
97,49,1,created,,,,Creación de seguimiento mensual,2024-01-28T12:00:00+00:00
98,49,2,submitted,status,draft,submitted,Cambio de estado a submitted,2024-01-28T12:30:00+00:00
99,50,1,created,,,,Creación de seguimiento mensual,2024-02-28T12:00:00+00:00
100,50,2,reviewed,status,draft,reviewed,Cambio de estado a reviewed,2024-02-28T12:30:00+00:00
101,51,1,created,,,,Creación de seguimiento mensual,2024-03-28T12:00:00+00:00
102,51,2,approved,status,draft,approved,Cambio de estado a approved,2024-03-28T12:30:00+00:00
103,52,1,created,,,,Creación de seguimiento mensual,2024-04-28T12:00:00+00:00
104,52,2,draft,status,draft,draft,Cambio de estado a draft,2024-04-28T12:30:00+00:00
105,53,1,created,,,,Creación de seguimiento mensual,2024-05-28T12:00:00+00:00
106,53,2,submitted,status,draft,submitted,Cambio de estado a submitted,2024-05-28T12:30:00+00:00
107,54,1,created,,,,Creación de seguimiento mensual,2024-06-28T12:00:00+00:00
108,54,2,reviewed,status,draft,reviewed,Cambio de estado a reviewed,2024-06-28T12:30:00+00:00
109,55,1,created,,,,Creación de seguimiento mensual,2024-07-28T12:00:00+00:00
110,55,2,approved,status,draft,approved,Cambio de estado a approved,2024-07-28T12:30:00+00:00
111,56,1,created,,,,Creación de seguimiento mensual,2024-08-28T12:00:00+00:00
112,56,2,draft,status,draft,draft,Cambio de estado a draft,2024-08-28T12:30:00+00:00
113,57,1,created,,,,Creación de seguimiento mensual,2024-09-28T12:00:00+00:00
114,57,2,submitted,status,draft,submitted,Cambio de estado a submitted,2024-09-28T12:30:00+00:00
115,58,1,created,,,,Creación de seguimiento mensual,2024-10-28T12:00:00+00:00
116,58,2,reviewed,status,draft,reviewed,Cambio de estado a reviewed,2024-10-28T12:30:00+00:00
117,59,1,created,,,,Creación de seguimiento mensual,2024-11-28T12:00:00+00:00
118,59,2,approved,status,draft,approved,Cambio de estado a approved,2024-11-28T12:30:00+00:00
119,60,1,created,,,,Creación de seguimiento mensual,2024-12-28T12:00:00+00:00
120,60,2,draft,status,draft,draft,Cambio de estado a draft,2024-12-28T12:30:00+00:00
