id,energy_system_id,year,month,month_number,baseline_model_id,baseline_code,metric_name,percentage_difference,trend_status,notes
45,1,2024,9,9,4,LBEN_GEN_GLP,percentage_difference,6.0,stable,Mes 09 / LBEN_GEN_GLP
46,1,2024,10,10,4,LBEN_GEN_GLP,percentage_difference,9.0,stable,Mes 10 / LBEN_GEN_GLP
47,1,2024,11,11,4,LBEN_GEN_GLP,percentage_difference,20.0,medium,Mes 11 / LBEN_GEN_GLP
48,1,2024,12,12,4,LBEN_GEN_GLP,percentage_difference,-2.0,stable,Mes 12 / LBEN_GEN_GLP
49,1,2024,1,1,5,LBEN_GEN_DIESEL,percentage_difference,1.0,stable,Mes 01 / LBEN_GEN_DIESEL
50,1,2024,2,2,5,LBEN_GEN_DIESEL,percentage_difference,7.0,stable,Mes 02 / LBEN_GEN_DIESEL
51,1,2024,3,3,5,LBEN_GEN_DIESEL,percentage_difference,13.0,medium,Mes 03 / LBEN_GEN_DIESEL
52,1,2024,4,4,5,LBEN_GEN_DIESEL,percentage_difference,4.0,stable,Mes 04 / LBEN_GEN_DIESEL
53,1,2024,5,5,5,LBEN_GEN_DIESEL,percentage_difference,2.0,stable,Mes 05 / LBEN_GEN_DIESEL
54,1,2024,6,6,5,LBEN_GEN_DIESEL,percentage_difference,16.0,medium,Mes 06 / LBEN_GEN_DIESEL
55,1,2024,7,7,5,LBEN_GEN_DIESEL,percentage_difference,-2.0,stable,Mes 07 / LBEN_GEN_DIESEL
56,1,2024,8,8,5,LBEN_GEN_DIESEL,percentage_difference,19.0,medium,Mes 08 / LBEN_GEN_DIESEL
57,1,2024,9,9,5,LBEN_GEN_DIESEL,percentage_difference,5.0,stable,Mes 09 / LBEN_GEN_DIESEL
58,1,2024,10,10,5,LBEN_GEN_DIESEL,percentage_difference,8.0,stable,Mes 10 / LBEN_GEN_DIESEL
59,1,2024,11,11,5,LBEN_GEN_DIESEL,percentage_difference,22.0,high,Mes 11 / LBEN_GEN_DIESEL
60,1,2024,12,12,5,LBEN_GEN_DIESEL,percentage_difference,-1.0,stable,Mes 12 / LBEN_GEN_DIESEL
